#{"t_start": 1766243797.653455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
445.0,2707,2635.520586
250.0,3053,2641.96807
270.0,4241,2650.140203
215.0,2385,2654.910116
440.0,3501,2663.284625
245.0,2787,2670.657025
155.0,2043,2675.814592
305.0,2825,2683.362386
195.0,1963,2689.863406
400.0,3503,2700.202621
245.0,2501,2706.127884
325.0,3061,2713.49469
130.0,1945,2717.967501
285.0,2775,2723.533174
300.0,2911,2729.420324
85.0,2157,2734.346702
530.0,3363,2741.945308
125.0,1943,2745.879508
240.0,2547,2750.954566
265.0,2637,2756.078366
105.0,1071,2758.229196
160.0,2071,2762.91898
255.0,2473,2768.00655
265.0,2189,2772.277306
125.0,1931,2776.678305
155.0,1931,2781.285422
155.0,2117,2785.614259
125.0,1837,2789.303675
260.0,2413,2794.018854
165.0,1997,2797.898561
250.0,2495,2802.669946
205.0,2607,2807.708349
250.0,2559,2813.02465
440.0,3441,2821.585869
395.0,2825,2828.865509
370.0,3787,2851.583963
125.0,1431,2854.674267
230.0,2549,2861.203823
180.0,2421,2866.42519
220.0,2449,2872.136225
135.0,1947,2877.183939
235.0,2467,2882.285054
500.0,3333,2889.940629
180.0,1507,2893.613374
430.0,2313,2899.005905
180.0,2383,2904.662607
65.0,1145,2907.16188
390.0,2937,2913.712111
185.0,2165,2918.052774
275.0,3241,2925.600954
490.0,2797,2931.010549
285.0,2903,2937.252232
200.0,2151,2941.481259
510.0,3819,2950.081345
330.0,2903,2955.82777
185.0,2097,2959.961096
310.0,2881,2965.54635
295.0,2681,2970.730433
140.0,2131,2975.548844
260.0,2679,2981.913915
300.0,2459,2987.179141
300.0,2437,2991.920048
210.0,2003,2995.80529
320.0,3055,3001.751321
295.0,2323,3006.237543
310.0,3003,3012.663176
375.0,3171,3019.413889
255.0,2631,3025.469519
440.0,3713,3033.684367
160.0,1739,3037.29718
255.0,3063,3043.863181
155.0,1925,3047.978074
220.0,1911,3053.147934
40.0,1005,3055.337667
170.0,1981,3060.435335
275.0,3549,3082.66409
100.0,1389,3085.417894
370.0,1977,3091.419434
540.0,2731,3101.389017
205.0,1637,3110.300666
235.0,1669,3119.304264
330.0,2565,3129.804314
195.0,2521,3139.460641
205.0,1945,3144.757341
410.0,2705,3152.401624
205.0,1863,3157.336051
325.0,3223,3166.65845
330.0,2393,3172.345103
465.0,2679,3179.718021
260.0,2635,3185.993629
135.0,2093,3191.550668
265.0,2781,3199.737581
425.0,4387,3209.770944
170.0,2597,3216.274081
235.0,3265,3225.247425
25.0,1901,3229.798606
245.0,3289,3240.085717
210.0,2365,3248.041605
310.0,2925,3258.077775
445.0,4143,3270.84584
160.0,1433,3275.013838
240.0,2901,3284.573705
210.0,1991,3290.591893
195.0,2185,3296.782346
225.0,2669,3303.534799
385.0,3689,3311.214439
305.0,2331,3316.757566
430.0,3159,3323.070261
270.0,2379,3327.71293
585.0,2549,3332.666329
330.0,3025,3338.500273
215.0,1613,3341.582182
445.0,2809,3348.163477
795.0,3705,3356.435132
360.0,2771,3363.017247
180.0,1485,3380.228507
280.0,3151,3387.125202
395.0,3637,3394.188854
140.0,1953,3397.931305
255.0,2135,3402.026761
120.0,1421,3404.730009
275.0,3127,3411.617182
370.0,2453,3416.919183
360.0,3081,3422.920778
210.0,2279,3428.194213
165.0,1685,3433.319391
160.0,1937,3438.192315
145.0,1701,3442.260168
250.0,2201,3447.991222
45.0,1311,3451.27691
180.0,1645,3454.782973
295.0,2363,3459.768259
170.0,1849,3464.06317
240.0,3425,3472.071813
360.0,3173,3478.161263
255.0,3187,3484.265457
200.0,3259,3492.899758
350.0,2451,3498.136453
205.0,1991,3503.000783
420.0,3013,3509.079025
110.0,1833,3512.605824
315.0,4111,3521.478547
345.0,2835,3527.57728
150.0,2093,3532.23298
440.0,2505,3538.354262
210.0,2171,3543.507539
130.0,1437,3547.090672
150.0,1137,3549.738587
170.0,1649,3553.43714
460.0,2157,3558.195736
95.0,1581,3561.507022
170.0,1489,3564.800012
195.0,2041,3568.842377
160.0,2101,3573.967637
180.0,1707,3577.695451
115.0,1663,3580.92514
235.0,1475,3584.33286
300.0,2605,3590.274066
185.0,1491,3593.976087
360.0,2895,3600.31304
420.0,2955,3624.261242
410.0,3051,3630.219006
290.0,2279,3634.67276
285.0,2389,3639.199703
265.0,2865,3645.740985
225.0,1927,3650.204106
260.0,2031,3654.441377
225.0,1421,3657.869113
535.0,3397,3665.618478
130.0,1601,3669.093155
715.0,4585,3679.736491
175.0,2231,3684.61417
485.0,2425,3689.758817
130.0,1129,3692.721425
310.0,2509,3700.098224
265.0,2239,3706.334942
290.0,2613,3713.72644
235.0,2205,3721.637323
265.0,2357,3729.510833
565.0,3629,3741.995603
320.0,2367,3748.334171
215.0,1617,3752.342146
420.0,2829,3758.392185
260.0,2253,3762.802076
285.0,2327,3767.404348
510.0,3217,3773.84033
350.0,3479,3780.635586
325.0,2845,3787.162446
260.0,2411,3795.269089
535.0,2711,3803.287709
380.0,2963,3813.87408
175.0,2905,3824.585816
240.0,2075,3830.465445
195.0,2245,3837.413455
495.0,3493,3848.953994
275.0,2457,3857.388628
265.0,2841,3866.931515
